hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,observed_event_rate,forecast_event_rate,model,obs,lead_day,threshold_mm_day,season
1648,12004,8726,161430,0.1207149135657779,0.8411413148255253,0.07364375726159621,0.759888661002051,0.07427315459610027,0.05643932799442897,graphcast,CHIRPS,7,10,annual
26,3153,685,179944,0.00817867253853413,0.9634317862165963,0.006728778467908903,0.22365523749606794,0.017295221100278552,0.003868166782729805,graphcast,CHIRPS,7,20,annual
49084,9228,34266,91230,0.8417478392097681,0.41110977804439114,0.5301907580634708,1.429379887501715,0.3172440807799443,0.45346230849582175,neuralgcm,CHIRPS,7,1,annual
15673,13592,18353,136190,0.5355544165385272,0.5393816493269853,0.3291402410853039,1.1626858021527422,0.15921505048746518,0.1851170786908078,neuralgcm,CHIRPS,7,5,annual
2807,10845,5939,164217,0.20561089950190448,0.6790532815001143,0.14328007758664693,0.6406387342513917,0.07427315459610027,0.04758225974930362,neuralgcm,CHIRPS,7,10,annual
126,3053,308,180321,0.03963510537905002,0.7096774193548387,0.03613421279036421,0.13652091852783893,0.017295221100278552,0.002361159470752089,neuralgcm,CHIRPS,7,20,annual
45278,15997,9672,112861,0.7389310485516116,0.17601455868971794,0.6381947087262323,0.8967768257853937,0.33336416260445684,0.29895325557103064,fourcastnet,ERA5,1,1,annual
13173,16585,4157,149893,0.4426708784192486,0.2398730525100981,0.3884122069880584,0.5823644062100948,0.16189719707520892,0.09428316504178273,fourcastnet,ERA5,1,5,annual
3889,10665,2048,167206,0.2672117630891851,0.3449553646622874,0.23424888567642452,0.40792909165865054,0.0791804491643454,0.03230000870473538,fourcastnet,ERA5,1,10,annual
409,3021,466,179912,0.11924198250728862,0.5325714285714286,0.1049794661190965,0.25510204081632654,0.018660776462395542,0.004760402158774373,fourcastnet,ERA5,1,20,annual
50657,10618,9173,113360,0.8267156262749898,0.15331773357847234,0.719069384510561,0.9764177886576907,0.33336416260445684,0.3255026984679666,gencast,ERA5,1,1,annual
20228,9530,6895,147155,0.6797499831977956,0.25421229215057334,0.5518784274138543,0.9114523825525909,0.16189719707520892,0.14756158600278552,gencast,ERA5,1,5,annual
7861,6693,4740,164514,0.5401264257248867,0.3761606221728434,0.4074323623924536,0.8658100865741377,0.0791804491643454,0.068555231545961,gencast,ERA5,1,10,annual
1250,2180,1621,178757,0.36443148688046645,0.5646116335771508,0.24747574737675707,0.8370262390670554,0.018660776462395542,0.015619559540389972,gencast,ERA5,1,20,annual
48820,12455,17664,104869,0.7967360261117911,0.2656879850791168,0.6184522226022625,1.0850101999184008,0.33336416260445684,0.3617035167130919,graphcast,ERA5,1,1,annual
14897,14861,8705,145345,0.5006048793601721,0.36882467587492584,0.3873072823232717,0.7931312588211573,0.16189719707520892,0.12840572771587744,graphcast,ERA5,1,5,annual
4662,9892,5511,163743,0.32032430946818746,0.5417281038041876,0.23234487914278595,0.6989830974302598,0.0791804491643454,0.05534579561281337,graphcast,ERA5,1,10,annual
656,2774,1633,178745,0.1912536443148688,0.7134119702927042,0.1295674501283824,0.6673469387755102,0.018660776462395542,0.01245321204735376,graphcast,ERA5,1,20,annual
52039,9236,23423,99110,0.8492696858425133,0.3103946357106888,0.6144064794918416,1.2315299877600978,0.33336416260445684,0.410547963091922,neuralgcm,ERA5,1,1,annual
17697,12061,12688,141362,0.5946972242758249,0.41757446108277113,0.4169297460302502,1.0210699643793266,0.16189719707520892,0.16530836525069637,neuralgcm,ERA5,1,5,annual
4578,9976,6291,162963,0.31455270028858046,0.5788020977090809,0.21962101223314945,0.746805002061289,0.0791804491643454,0.05913235550139276,neuralgcm,ERA5,1,10,annual
411,3019,1134,179244,0.11982507288629737,0.7339805825242719,0.09005258545135846,0.45043731778425655,0.018660776462395542,0.008405510097493036,neuralgcm,ERA5,1,20,annual
46195,14865,12468,110280,0.7565509335080249,0.21253601077340062,0.6282640626700032,0.9607435309531608,0.3321944637883008,0.31915368210306405,fourcastnet,ERA5,3,1,annual
14015,15501,5285,149007,0.4748272123593983,0.2738341968911917,0.402718312692164,0.653882639924109,0.16058060584958217,0.10500087047353761,fourcastnet,ERA5,3,5,annual
3853,10531,2369,167055,0.2678670745272525,0.38074574091931856,0.22998865874768698,0.4325639599555061,0.07825557103064067,0.033850539693593314,fourcastnet,ERA5,3,10,annual
279,3093,490,179946,0.08274021352313167,0.6371911573472041,0.07224236147074055,0.22805456702253854,0.018345229805013928,0.004183713440111421,fourcastnet,ERA5,3,20,annual
53393,7667,16542,106206,0.8744349819849329,0.23653392435833273,0.6880363908146697,1.1453488372093024,0.3321944637883008,0.38047854282729804,gencast,ERA5,3,1,annual
20392,9124,9792,144500,0.6908795229705922,0.32441028359395707,0.5187748041111224,1.0226317929258708,0.16058060584958217,0.16421483286908078,gencast,ERA5,3,5,annual
6546,7838,4725,164699,0.45508898776418244,0.4192174607399521,0.3425610968653514,0.7835789766407119,0.07825557103064067,0.061319420264623954,gencast,ERA5,3,10,annual
702,2670,893,179543,0.20818505338078291,0.5598746081504702,0.16459554513481828,0.47301304863582444,0.018345229805013928,0.00867753307799443,gencast,ERA5,3,20,annual
48406,12654,30720,92028,0.7927612184736325,0.3882415388115158,0.5274133798213119,1.2958729118899444,0.3321944637883008,0.43048180710306405,graphcast,ERA5,3,1,annual
12313,17203,10449,143843,0.41716357229976964,0.4590545646252526,0.3080945827599149,0.7711749559560916,0.16058060584958217,0.12383574164345404,graphcast,ERA5,3,5,annual
2836,11548,4362,165062,0.1971635150166852,0.6060016671297582,0.1512856075962872,0.5004171301446051,0.07825557103064067,0.0391604282729805,graphcast,ERA5,3,10,annual
176,3196,535,179901,0.05219454329774614,0.7524613220815752,0.04504735090862554,0.21085409252669038,0.018345229805013928,0.003868166782729805,graphcast,ERA5,3,20,annual
52352,8708,27579,95169,0.8573861775302981,0.345035092767512,0.5906203815476258,1.3090566655748443,0.3321944637883008,0.43486137708913647,neuralgcm,ERA5,3,1,annual
18739,10777,15245,139047,0.6348759994579212,0.4485934557438795,0.41864569603002616,1.1513755251389077,0.16058060584958217,0.18488857938718664,neuralgcm,ERA5,3,5,annual
4197,10187,5494,163930,0.2917825361512792,0.5669177587452275,0.2111379414428011,0.6737347052280311,0.07825557103064067,0.05272349408077994,neuralgcm,ERA5,3,10,annual
286,3086,404,180032,0.08481613285883749,0.5855072463768116,0.07574152542372882,0.20462633451957296,0.018345229805013928,0.00375391713091922,neuralgcm,ERA5,3,20,annual
45501,15369,13243,109695,0.7475110892065057,0.2254357891869808,0.6139408740706759,0.965073106620667,0.33116077646239556,0.31959435933147634,fourcastnet,ERA5,5,1,annual
13296,16014,5471,149027,0.4536335721596725,0.291522353066553,0.38227768034271586,0.6402934152166496,0.15945987116991645,0.10210110550139276,fourcastnet,ERA5,5,5,annual
3416,10817,2247,167328,0.24000562074053255,0.3967861557478368,0.20728155339805826,0.3978781704489566,0.07743406162952646,0.030809322771587745,fourcastnet,ERA5,5,10,annual
274,3040,410,180084,0.08267954133977067,0.5994152046783626,0.07357679914070892,0.2063971031985516,0.01802968314763231,0.003721274373259053,fourcastnet,ERA5,5,20,annual
53194,7676,19164,103774,0.8738951864629538,0.26484977473119764,0.6646425269260564,1.188730080499425,0.33116077646239556,0.39366077646239556,gencast,ERA5,5,1,annual
20768,8542,12191,142307,0.7085636301603548,0.36988379501805274,0.5004216765861064,1.1244967587853976,0.15945987116991645,0.17931210828690808,gencast,ERA5,5,5,annual
6555,7678,5521,164054,0.46054942738705823,0.45718781053328916,0.3318315277918396,0.8484507833907117,0.07743406162952646,0.06569899025069638,gencast,ERA5,5,10,annual
630,2684,911,179583,0.19010259505129753,0.591174561972745,0.14911242603550295,0.46499698249849125,0.01802968314763231,0.008383748259052925,gencast,ERA5,5,20,annual
51076,9794,43707,79231,0.8390997207162806,0.4611269953472669,0.4884056723753789,1.5571381632988335,0.33116077646239556,0.5156630832172702,graphcast,ERA5,5,1,annual
13120,16190,17184,137314,0.4476287956328898,0.5670538542766631,0.2821869488536155,1.033913340156943,0.15945987116991645,0.16486768802228413,graphcast,ERA5,5,5,annual
2614,11619,6067,163508,0.18365769690156677,0.6988826172099989,0.12876847290640395,0.6099206070399775,0.07743406162952646,0.04722862987465181,graphcast,ERA5,5,10,annual
119,3195,438,180056,0.035908267954133974,0.7863554757630161,0.03171641791044776,0.16807483403741702,0.01802968314763231,0.0030303360027855155,graphcast,ERA5,5,20,annual
