model,obs,lead_day,threshold_mm_day,forecast_probability,observed_frequency,count,abs_calibration_gap,weighted_abs_gap,ece
gencast,ERA5,1,20,0.2,0.17551020408163265,980,0.024489795918367363,0.00037267080745341643,0.016209627329192546
gencast,ERA5,1,20,0.3,0.204644412191582,689,0.09535558780841799,0.0010201863354037267,0.016209627329192546
gencast,ERA5,1,20,0.4,0.29693486590038315,522,0.10306513409961687,0.0008354037267080747,0.016209627329192546
gencast,ERA5,1,20,0.5,0.3256880733944954,436,0.1743119266055046,0.0011801242236024845,0.016209627329192546
gencast,ERA5,1,20,0.6,0.4318840579710145,345,0.1681159420289855,0.0009006211180124223,0.016209627329192546
gencast,ERA5,1,20,0.7,0.5227272727272727,308,0.17727272727272725,0.0008478260869565216,0.016209627329192546
gencast,ERA5,1,20,0.8,0.6273062730627307,271,0.17269372693726937,0.0007267080745341616,0.016209627329192546
gencast,ERA5,1,20,0.9,0.6696165191740413,339,0.23038348082595872,0.0012127329192546585,0.016209627329192546
gencast,ERA5,1,20,1.0,0.8175074183976261,674,0.18249258160237392,0.0019099378881987583,0.016209627329192546
gencast,ERA5,3,1,0.0,0.030849591499620518,22399,0.030849591499620518,0.010729813664596272,0.04063975155279505
gencast,ERA5,3,1,0.1,0.160034980323568,4574,0.060034980323567994,0.0042639751552795025,0.04063975155279505
gencast,ERA5,3,1,0.2,0.2839546191247974,3085,0.0839546191247974,0.004021739130434783,0.04063975155279505
gencast,ERA5,3,1,0.3,0.35389856169568507,2642,0.05389856169568508,0.002211180124223602,0.04063975155279505
gencast,ERA5,3,1,0.4,0.44069192751235586,2428,0.04069192751235584,0.0015341614906832295,0.04063975155279505
gencast,ERA5,3,1,0.5,0.517212774782248,2411,0.01721277478224803,0.0006444099378881987,0.04063975155279505
gencast,ERA5,3,1,0.6,0.602734375,2560,0.0027343750000000666,0.00010869565217391569,0.04063975155279505
gencast,ERA5,3,1,0.7,0.6787836420831876,2861,0.021216357916812312,0.000942546583850932,0.04063975155279505
gencast,ERA5,3,1,0.8,0.7599770312948607,3483,0.04002296870513933,0.00216459627329193,0.04063975155279505
gencast,ERA5,3,1,0.9,0.8532297628781684,4892,0.04677023712183159,0.003552795031055903,0.04063975155279505
gencast,ERA5,3,1,1.0,0.9484117872177573,13065,0.05158821278224268,0.01046583850931678,0.04063975155279505
gencast,ERA5,3,5,0.0,0.019990739984203504,36717,0.019990739984203504,0.011397515527950312,0.036211180124223606
gencast,ERA5,3,5,0.1,0.15942028985507245,4968,0.059420289855072445,0.004583850931677017,0.036211180124223606
gencast,ERA5,3,5,0.2,0.23751095530236635,3423,0.03751095530236634,0.001993788819875776,0.036211180124223606
gencast,ERA5,3,5,0.3,0.3159221902017291,2776,0.015922190201729136,0.0006863354037267093,0.036211180124223606
gencast,ERA5,3,5,0.4,0.3844667697063369,2588,0.015533230293663103,0.0006242236024844738,0.036211180124223606
gencast,ERA5,3,5,0.5,0.457290767903365,2318,0.04270923209663502,0.0015372670807453413,0.036211180124223606
gencast,ERA5,3,5,0.6,0.5410738871041763,2179,0.058926112895823723,0.0019937888198757747,0.036211180124223606
gencast,ERA5,3,5,0.7,0.6211096075778079,2217,0.07889039242219209,0.0027158385093167684,0.036211180124223606
