hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,observed_event_rate,forecast_event_rate,model,obs,lead_day,threshold_mm_day
139,1017,409,45539,0.12024221453287197,0.7463503649635036,0.08881789137380192,0.4740484429065744,0.024541440217391304,0.01163383152173913,gencast,CHIRPS,5,20
14141,2947,14564,15452,0.8275397940074907,0.5073680543459328,0.44676481738910656,1.6798338014981273,0.36277173913043476,0.6093962296195652,graphcast,CHIRPS,5,1
3427,5056,6312,32309,0.4039844394671696,0.6481158229797721,0.23163230821223385,1.1480608275374278,0.18009086277173914,0.20675526494565216,graphcast,CHIRPS,5,5
653,3502,2589,40360,0.15716004813477738,0.7985811227637261,0.09682680901542111,0.7802647412755715,0.08820906929347826,0.06882642663043478,graphcast,CHIRPS,5,10
27,1129,251,45697,0.023356401384083045,0.9028776978417267,0.019189765458422176,0.24048442906574394,0.024541440217391304,0.005901834239130435,graphcast,CHIRPS,5,20
14541,2547,10829,19187,0.8509480337078652,0.4268427276310603,0.5208654225024179,1.4846676029962547,0.36277173913043476,0.5385954483695652,neuralgcm,CHIRPS,5,1
4171,4312,4913,33708,0.49168926087469056,0.5408410391897842,0.3113616004777546,1.0708475775079571,0.18009086277173914,0.19284986413043478,neuralgcm,CHIRPS,5,5
842,3313,1643,41306,0.20264741275571602,0.6611670020120725,0.14522249051397035,0.5980746089049338,0.08820906929347826,0.052755604619565216,neuralgcm,CHIRPS,5,10
46,1110,111,45837,0.039792387543252594,0.7070063694267515,0.036306235201262825,0.13581314878892733,0.024541440217391304,0.0033330502717391305,neuralgcm,CHIRPS,5,20
10939,6124,6133,23908,0.6410947664537303,0.3592432052483599,0.47158992929815485,1.000527457070855,0.3622409986413043,0.3624320652173913,fourcastnet,CHIRPS,7,1
2627,5869,2765,35843,0.3092043314500942,0.5127967359050445,0.23328301216588224,0.6346516007532956,0.18036684782608695,0.11447010869565218,fourcastnet,CHIRPS,7,5
599,3572,1187,41746,0.14361064492927356,0.6646136618141097,0.11179544606196341,0.4281946775353632,0.08854874320652174,0.037916100543478264,fourcastnet,CHIRPS,7,10
62,1105,270,45667,0.05312767780634105,0.8132530120481928,0.04314544189283229,0.28449014567266495,0.024774966032608696,0.007048233695652174,fourcastnet,CHIRPS,7,20
13516,3547,7869,22172,0.7921233077418977,0.3679682020107552,0.5421145515802984,1.2532966066928442,0.3622409986413043,0.4539954144021739,gencast,CHIRPS,7,1
4256,4240,4230,34378,0.5009416195856874,0.49846806504831487,0.33443344334433445,0.9988229755178908,0.18036684782608695,0.18015455163043478,gencast,CHIRPS,7,5
934,3237,1532,41401,0.22392711579956845,0.6212489862124899,0.16377345256882342,0.5912251258690961,0.08854874320652174,0.05235224184782609,gencast,CHIRPS,7,10
117,1050,334,45603,0.10025706940874037,0.7405764966740577,0.07794803464357095,0.3864610111396744,0.024774966032608696,0.009574558423913044,gencast,CHIRPS,7,20
14462,2601,17755,12286,0.8475649065228857,0.5511065586491604,0.4153598713309208,1.8881204946375199,0.3622409986413043,0.6839546535326086,graphcast,CHIRPS,7,1
3692,4804,8675,29933,0.4345574387947269,0.7014635724104472,0.2150136858657038,1.455626177024482,0.18036684782608695,0.26254670516304346,graphcast,CHIRPS,7,5
618,3553,3647,39286,0.1481659074562455,0.8550996483001172,0.07904834996162702,1.0225365619755455,0.08854874320652174,0.09054432744565218,graphcast,CHIRPS,7,10
13,1154,339,45598,0.011139674378748929,0.9630681818181818,0.008632138114209827,0.30162810625535563,0.024774966032608696,0.007472826086956522,graphcast,CHIRPS,7,20
14981,2082,12149,17892,0.8779815976088613,0.44780685587910063,0.51283719019581,1.589990036921995,0.3622409986413043,0.5759595788043478,neuralgcm,CHIRPS,7,1
4886,3610,6246,32362,0.5750941619585688,0.5610851598993891,0.33143399810066476,1.3102636534839924,0.18036684782608695,0.236328125,neuralgcm,CHIRPS,7,5
947,3224,2239,40694,0.2270438743706545,0.7027620841180163,0.14773790951638066,0.7638456005754016,0.08854874320652174,0.06763756793478261,neuralgcm,CHIRPS,7,10
57,1110,146,45791,0.04884318766066838,0.7192118226600985,0.04341203351104341,0.17395029991431019,0.024774966032608696,0.00430961277173913,neuralgcm,CHIRPS,7,20
21174,7297,3626,32303,0.7437041199817358,0.14620967741935484,0.6596878212917096,0.8710617821643075,0.44209627329192547,0.38509316770186336,fourcastnet,ERA5,1,1
6926,7068,2239,48167,0.4949263970272974,0.24429896344789961,0.4266617384340541,0.6549235386594254,0.21729813664596273,0.1423136645962733,fourcastnet,ERA5,1,5
2840,4629,1307,55624,0.38023831838264827,0.31516759102966,0.3236098450319052,0.5552282768777614,0.11597826086956521,0.0643944099378882,fourcastnet,ERA5,1,10
671,1876,519,61334,0.2634471927758147,0.4361344537815126,0.21885192433137637,0.4672163329407146,0.03954968944099379,0.01847826086956522,fourcastnet,ERA5,1,20
24462,4009,3738,32191,0.859190053036423,0.1325531914893617,0.7594771647676115,0.9904815426223175,0.44209627329192547,0.43788819875776397,gencast,ERA5,1,1
10277,3717,3147,47259,0.7343861654994998,0.23443087008343266,0.5995566186336854,0.9592682578247821,0.21729813664596273,0.2084472049689441,gencast,ERA5,1,5
4813,2656,2227,54704,0.6443968402731289,0.3163352272727273,0.49639026402640263,0.9425625920471281,0.11597826086956521,0.1093167701863354,gencast,ERA5,1,10
1428,1119,1006,60847,0.5606595995288575,0.4133114215283484,0.4019138755980861,0.955634079308991,0.03954968944099379,0.037795031055900624,gencast,ERA5,1,20
24049,4422,7469,28460,0.8446840644866707,0.2369756964274383,0.6691430161380078,1.1070211794457518,0.44209627329192547,0.48940993788819875,graphcast,ERA5,1,1
8225,5769,4757,45649,0.5877518936687152,0.36643044215067017,0.4386432723588075,0.9276832928397885,0.21729813664596273,0.20158385093167702,graphcast,ERA5,1,5
3512,3957,3300,53631,0.47021020216896503,0.4844392248972402,0.32612127402730057,0.9120364171910563,0.11597826086956521,0.10577639751552795,graphcast,ERA5,1,10
965,1582,1528,60325,0.37887711032587357,0.6129161652627356,0.23680981595092024,0.9787985865724381,0.03954968944099379,0.0387111801242236,graphcast,ERA5,1,20
24282,4189,9038,26891,0.8528678304239401,0.2712484993997599,0.6473646324882029,1.1703136524884972,0.44209627329192547,0.5173913043478261,neuralgcm,ERA5,1,1
9024,4970,5921,44485,0.6448477919108189,0.39618601538976245,0.45312578458448405,1.0679576961554953,0.21729813664596273,0.23206521739130434,neuralgcm,ERA5,1,5
